target_pref_name,canonical_smiles,molecule_chembl_id,standard_value,standard_type,target_organism,Kd_M,pKd
STE20-related kinase adapter protein alpha,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,CHEMBL1952329,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,CHEMBL405130,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,CHEMBL2035187,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,CHEMBL217092,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,CHEMBL1233528,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1,CHEMBL2323775,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,CHEMBL91829,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CHEMBL513909,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,CHEMBL587723,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,CHEMBL255863,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,CHEMBL1908394,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=c1[nH]ccc2cc(OC3CCNCC3)ccc12,CHEMBL1667969,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O,CHEMBL3182621,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,CHEMBL2041933,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,CHEMBL3402762,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,CHEMBL215152,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,CHEMBL2138625,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,CHEMBL1946170,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](N2CCC2)C1,CHEMBL551064,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,CHEMBL2140408,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,CHEMBL575448,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CHEMBL1721885,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,CHEMBL3544932,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,CHEMBL1614766,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,CHEMBL482767,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CHEMBL1173655,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,CHEMBL1231124,316.0,Kd,Homo sapiens,3.16e-07,6.5003129173815966
STE20-related kinase adapter protein alpha,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,CHEMBL400402,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,CHEMBL3186534,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1c(Cn2c(C)nc3c(C(=O)O)cc(N4CCOCC4)cc32)cccc1C(F)(F)F,CHEMBL3188551,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1,CHEMBL3218578,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,CHEMBL496102,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,CHEMBL1090090,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL221959,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,CHEMBL3545154,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,CHEMBL3699142,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,CHEMBL253969,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,CHEMBL3301612,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,CHEMBL565612,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL300138,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,CHEMBL507361,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1,CHEMBL1614713,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,CHEMBL3544960,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL535,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,CHEMBL2408045,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,CHEMBL1789941,3672.0,Kd,Homo sapiens,3.672e-06,5.435097327470795
STE20-related kinase adapter protein alpha,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,CHEMBL2105717,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,CHEMBL1084546,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1,CHEMBL2103842,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,CHEMBL1908391,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL2103839,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,CHEMBL1801204,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,CHEMBL3408248,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,CHEMBL2017974,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,CHEMBL1908397,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,CHEMBL564829,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Cl)cc12,CHEMBL3544944,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,CHEMBL259084,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,CHEMBL3688339,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,CHEMBL1645462,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,CHEMBL2403108,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,CHEMBL2103875,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cn1cc(C2=Nc3cc(NC(=O)C(N)C4CCCCC4)cc4c3C2=CNNC4=O)cn1,CHEMBL3545137,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@H](Oc1cc(C(=O)Nc2ccc(C(=O)N3CCN(C)CC3)cc2)nnc1N)c1c(Cl)ccc(F)c1Cl,CHEMBL2376648,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,CHEMBL3545328,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,CHEMBL2336325,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL1201182,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CHEMBL1738797,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1,CHEMBL3545396,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,CHEMBL1171837,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CHEMBL1289926,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,CHEMBL1922094,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,CHEMBL38380,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,CHEMBL2146883,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,CHEMBL1976040,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,CHEMBL2029988,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12,CHEMBL2220486,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,CHEMBL14762,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,CHEMBL3813873,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,CHEMBL536151,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl,CHEMBL514201,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,CHEMBL3120215,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,CHEMBL592445,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,CHEMBL3137336,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL281948,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,CHEMBL1983268,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,CHEMBL3545215,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F,CHEMBL2107832,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,CHEMBL2165191,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
STE20-related kinase adapter protein alpha,N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1,CHEMBL2048872,30000.0,Kd,Homo sapiens,3e-05,4.522878745280337
